"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"theta[365]",0.3148,0.3409,-0.3423,0.0805,0.3195,0.5496,0.9713,1.0016,1500
"theta[366]",-0.3501,0.3435,-1.0516,-0.5804,-0.331,-0.117,0.2927,1.0018,1100
"theta[367]",-0.4781,0.3499,-1.1911,-0.7102,-0.4734,-0.2468,0.2119,1.0018,1200
"theta[368]",-0.5106,0.3586,-1.2464,-0.7607,-0.4992,-0.2719,0.2089,1.0018,1500
"theta[369]",-0.3574,0.3468,-1.0613,-0.5868,-0.3553,-0.1212,0.3139,1.0038,530
"theta[370]",1.0208,0.4711,0.1664,0.6964,0.9953,1.3175,2.0018,1.0092,260
"theta[371]",0.6364,0.3785,-0.0843,0.3779,0.6246,0.8901,1.4076,1.0029,680
"theta[372]",-0.3977,0.3432,-1.0793,-0.6203,-0.3949,-0.1657,0.2466,1.001,1500
"theta[373]",0.967,0.4164,0.1692,0.6921,0.9674,1.2283,1.8087,1.0011,1500
"theta[374]",0.0965,0.3401,-0.5504,-0.1403,0.0984,0.3226,0.7504,1.0008,1500
"theta[375]",0.2493,0.3521,-0.4279,0.0084,0.2431,0.4764,0.9694,1.0002,1500
"theta[376]",-1.7008,0.4511,-2.6154,-2.0018,-1.6839,-1.3913,-0.8645,1.0019,1100
"theta[377]",-0.9576,0.3892,-1.7755,-1.2047,-0.9605,-0.6948,-0.2329,1.0019,1000
"theta[378]",-0.9385,0.3901,-1.7573,-1.1881,-0.9286,-0.6709,-0.2093,1.0014,1400
